time, lat, lon, pm1.0
010/05/10T15:54:37,51.533689,-0.121111,.57
010/05/10T15:54:38,51.533689,-0.121111,.57
010/05/10T15:55:53,51.533689,-0.121111,.66
010/05/10T15:55:58,51.533689,-0.121111,.66
010/05/10T15:56:20,51.533568,-0.122038,.55
010/05/10T15:56:29,51.533568,-0.122038,.64
010/05/10T17:22:45,51.533450,-0.120685,.66
010/05/10T17:22:47,51.533648,-0.119340,.66
010/05/10T17:23:24,51.533406,-0.118770,.65
010/05/10T17:23:52,51.533640,-0.118482,.55
010/05/10T17:23:54,51.533640,-0.118482,.55
010/05/10T17:24:07,51.533809,-0.118233,.53
010/05/10T17:24:17,51.533906,-0.118107,.61
010/05/10T17:24:25,51.534002,-0.118026,.61
010/05/10T17:24:40,51.534221,-0.117876,.61
010/05/10T17:24:55,51.534394,-0.117708,.7
010/05/10T17:25:15,51.534618,-0.117417,.67
010/05/10T17:25:40,51.534813,-0.117241,.68
010/05/10T17:25:45,51.534922,-0.117223,.6
010/05/10T17:25:49,51.535029,-0.117191,.6
010/05/10T17:25:57,51.535153,-0.117123,.6
010/05/10T17:26:10,51.535298,-0.117079,.54
010/05/10T17:26:19,51.535391,-0.117054,.65
010/05/10T17:26:25,51.535487,-0.117032,.65
010/05/10T17:26:31,51.535579,-0.116992,.5
010/05/10T17:26:38,51.535658,-0.116910,.5
010/05/10T17:26:48,51.535735,-0.116817,.69
010/05/10T17:27:01,51.535856,-0.116631,.57
010/05/10T17:27:13,51.535949,-0.116548,.57
010/05/10T17:27:24,51.536081,-0.116541,.57
010/05/10T17:27:33,51.536206,-0.116540,.68
010/05/10T17:27:47,51.536488,-0.116500,.51
010/05/10T17:27:56,51.536603,-0.116482,.51
010/05/10T17:28:02,51.536703,-0.116473,.63
010/05/10T17:28:39,51.536956,-0.116078,.52
010/05/10T17:28:41,51.536960,-0.116035,.52
010/05/10T17:28:43,51.536963,-0.115995,.52
010/05/10T17:29:16,51.536927,-0.115494,.65
010/05/10T17:29:25,51.536908,-0.115271,.65
010/05/10T17:29:33,51.536854,-0.114979,.62
010/05/10T17:30:00,51.536828,-0.114516,.55
010/05/10T17:30:13,51.536806,-0.114081,.55
010/05/10T17:30:32,51.536871,-0.113961,.55
010/05/10T17:30:37,51.536962,-0.113931,.55
010/05/10T17:30:42,51.537055,-0.113911,.55
010/05/10T17:30:49,51.537130,-0.113895,.65
010/05/10T17:30:55,51.537229,-0.113851,.65
010/05/10T17:31:04,51.537320,-0.113877,.64
010/05/10T17:31:12,51.537413,-0.113878,.64
010/05/10T17:31:19,51.537509,-0.113877,.61
010/05/10T17:31:20,51.537519,-0.113873,.61
010/05/10T17:31:27,51.537625,-0.113831,.61
010/05/10T17:31:36,51.537721,-0.113798,.68
010/05/10T17:31:39,51.537752,-0.113786,.68
010/05/10T17:31:46,51.537842,-0.113768,.54
010/05/10T17:31:53,51.537923,-0.113760,.54
010/05/10T17:32:03,51.538049,-0.113722,.6
010/05/10T17:32:14,51.538169,-0.113667,.64
010/05/10T17:32:33,51.538387,-0.113557,.67
010/05/10T17:32:44,51.538447,-0.113589,.53
010/05/10T17:33:20,51.538549,-0.113674,.63
010/05/10T17:33:38,51.538572,-0.113670,.59
010/05/10T17:33:45,51.538580,-0.113669,.61
010/05/10T17:33:46,51.538580,-0.113669,.61
010/05/10T17:33:53,51.538601,-0.113687,.61
010/05/10T17:33:57,51.538602,-0.113689,.61
010/05/10T17:34:03,51.538617,-0.113708,.62
010/05/10T17:34:54,51.538895,-0.113625,.64
010/05/10T17:35:12,51.539055,-0.113604,.58
010/05/10T17:35:29,51.539202,-0.113588,.65
010/05/10T17:35:40,51.539304,-0.113605,.65
010/05/10T17:35:46,51.539416,-0.113612,.69
010/05/10T17:35:51,51.539530,-0.113602,.69
010/05/10T17:35:59,51.539803,-0.113536,.56
010/05/10T17:36:19,51.540080,-0.113540,.58
010/05/10T17:36:28,51.540172,-0.113513,.58
010/05/10T17:36:36,51.540287,-0.113506,.67
010/05/10T17:36:41,51.540398,-0.113503,.67
010/05/10T17:36:53,51.540670,-0.113503,.64
010/05/10T17:36:57,51.540670,-0.113503,.64
010/05/10T17:36:58,51.540756,-0.113434,.64
010/05/10T17:37:24,51.540793,-0.113164,.73
010/05/10T17:37:40,51.540773,-0.112711,.67
010/05/10T17:37:51,51.540802,-0.112481,.69
010/05/10T17:38:06,51.540874,-0.112322,.69
010/05/10T17:38:27,51.541166,-0.112302,.6
010/05/10T17:38:34,51.541253,-0.112248,.61
010/05/10T17:38:54,51.541327,-0.112128,.58
010/05/10T17:39:07,51.541423,-0.111986,.57
010/05/10T17:39:16,51.541461,-0.111729,.77
010/05/10T17:39:29,51.541512,-0.111261,.62
010/05/10T17:39:41,51.541526,-0.111000,.62
010/05/10T17:39:43,51.541526,-0.111000,.62
010/05/10T17:39:52,51.541518,-0.110822,.62
010/05/10T17:39:54,51.541518,-0.110822,.62
010/05/10T17:40:21,51.541578,-0.110446,.6
010/05/10T17:40:35,51.541632,-0.110112,.65
010/05/10T17:40:58,51.541885,-0.109944,.73
010/05/10T17:41:06,51.542008,-0.109951,.66
010/05/10T17:41:49,51.542150,-0.109667,.63
010/05/10T17:42:07,51.542235,-0.109151,.68
010/05/10T17:42:09,51.542235,-0.109151,.68
010/05/10T17:42:16,51.542275,-0.108697,.63
010/05/10T17:42:28,51.542320,-0.108392,.63
010/05/10T17:42:34,51.542347,-0.108270,.66
010/05/10T17:42:41,51.542419,-0.108070,.66
010/05/10T17:42:48,51.542461,-0.107927,.66
010/05/10T17:42:55,51.542502,-0.107765,.66
010/05/10T17:43:02,51.542542,-0.107598,.66
010/05/10T17:43:13,51.542570,-0.107455,.66
010/05/10T17:43:25,51.542594,-0.107169,.58
010/05/10T17:43:38,51.542611,-0.106997,.7
010/05/10T17:43:44,51.542620,-0.106832,.73
010/05/10T17:43:45,51.542620,-0.106832,.73
010/05/10T17:43:48,51.542634,-0.106686,.73
010/05/10T17:43:54,51.542694,-0.106504,.73
010/05/10T17:43:59,51.542730,-0.106368,.72
010/05/10T17:44:05,51.542763,-0.106229,.72
010/05/10T17:44:10,51.542784,-0.106074,.72
010/05/10T17:44:15,51.542794,-0.105920,.78
010/05/10T17:44:21,51.542808,-0.105782,.78
010/05/10T17:44:27,51.542831,-0.105636,.78
010/05/10T17:44:34,51.542856,-0.105486,.52
010/05/10T17:44:42,51.542888,-0.105331,.52
010/05/10T17:44:47,51.542908,-0.105186,.58
010/05/10T17:44:55,51.542935,-0.105019,.58
010/05/10T17:45:01,51.542951,-0.104853,.72
010/05/10T17:45:07,51.542968,-0.104678,.72
010/05/10T17:45:18,51.543003,-0.104401,.54
010/05/10T17:45:27,51.543035,-0.104247,.54
010/05/10T17:45:36,51.543054,-0.104094,.66
010/05/10T17:46:05,51.543183,-0.103658,.71
010/05/10T17:46:16,51.543152,-0.103517,.63
010/05/10T17:46:28,51.543115,-0.103376,.63
010/05/10T17:46:43,51.543123,-0.103142,.63
010/05/10T17:46:58,51.543163,-0.102736,.56
010/05/10T17:47:01,51.543163,-0.102736,.66
010/05/10T17:47:05,51.543183,-0.102552,.66
010/05/10T17:47:12,51.543198,-0.102356,.66
010/05/10T17:47:22,51.543212,-0.102154,.66
010/05/10T17:47:30,51.543234,-0.101995,.6
010/05/10T17:47:30,51.543238,-0.101976,.6
010/05/10T17:47:38,51.543266,-0.101803,.6
010/05/10T17:47:46,51.543292,-0.101653,.71
010/05/10T17:47:49,51.543292,-0.101653,.71
010/05/10T17:47:52,51.543314,-0.101501,.71
010/05/10T17:48:00,51.543342,-0.101359,.62
010/05/10T17:48:07,51.543401,-0.101238,.62
010/05/10T17:48:18,51.543495,-0.101145,.65
010/05/10T17:48:25,51.543585,-0.101010,.65
010/05/10T17:48:31,51.543627,-0.100887,.7
010/05/10T17:48:36,51.543664,-0.100745,.7
010/05/10T17:48:43,51.543651,-0.100576,.7
010/05/10T17:49:00,51.543619,-0.100395,.68
010/05/10T17:49:09,51.543648,-0.100248,.68
010/05/10T17:49:19,51.543702,-0.100019,.65
010/05/10T17:49:23,51.543707,-0.100001,.65
010/05/10T17:49:27,51.543740,-0.099864,.65
010/05/10T17:49:37,51.543751,-0.099701,.52
010/05/10T17:49:41,51.543757,-0.099601,.52
010/05/10T17:49:54,51.543857,-0.099423,.74
010/05/10T17:49:56,51.543857,-0.099423,.74
010/05/10T17:50:01,51.543934,-0.099330,.62
010/05/10T17:50:08,51.543971,-0.099193,.62
010/05/10T17:50:17,51.544028,-0.099074,.66
010/05/10T17:50:28,51.544182,-0.098956,.66
010/05/10T17:50:42,51.544329,-0.098618,.61
010/05/10T17:50:45,51.544333,-0.098594,.65
010/05/10T17:50:47,51.544348,-0.098439,.65
010/05/10T17:50:54,51.544360,-0.098281,.65
010/05/10T17:51:05,51.544392,-0.098047,.71
010/05/10T17:51:14,51.544460,-0.097885,.67
010/05/10T17:51:17,51.544460,-0.097885,.67
010/05/10T17:51:22,51.544515,-0.097757,.67
010/05/10T17:51:35,51.544472,-0.097515,.65
010/05/10T17:51:57,51.544167,-0.097303,.57
010/05/10T17:52:05,51.544024,-0.097205,.69
010/05/10T17:52:12,51.543930,-0.097165,.69
010/05/10T17:52:38,51.543655,-0.097184,.76
010/05/10T17:52:51,51.543469,-0.097184,.7
010/05/10T17:53:01,51.543332,-0.097130,.6
010/05/10T17:53:14,51.543180,-0.097131,.63
010/05/10T17:53:26,51.543017,-0.097121,.63
010/05/10T17:53:35,51.542910,-0.097069,.54
010/05/10T17:53:36,51.542910,-0.097069,.54
010/05/10T17:53:49,51.542901,-0.096920,.65
010/05/10T17:53:55,51.542923,-0.096821,.65
010/05/10T17:54:01,51.542977,-0.096675,.55
010/05/10T17:54:10,51.543088,-0.096476,.55
010/05/10T17:54:11,51.543088,-0.096476,.55
010/05/10T17:54:16,51.543140,-0.096356,.66
010/05/10T17:54:26,51.543215,-0.096198,.66
010/05/10T17:54:37,51.543276,-0.096090,.6
010/05/10T17:54:46,51.543347,-0.095890,.7
010/05/10T17:54:47,51.543347,-0.095875,.7
010/05/10T17:54:55,51.543312,-0.095733,.7
010/05/10T17:55:02,51.543244,-0.095623,.65
010/05/10T17:55:08,51.543171,-0.095525,.65
010/05/10T17:55:14,51.543104,-0.095425,.62
010/05/10T17:55:22,51.543002,-0.095308,.62
010/05/10T17:55:25,51.542993,-0.095304,.62
010/05/10T17:55:29,51.542904,-0.095262,.68
010/05/10T17:55:43,51.542796,-0.095233,.68
010/05/10T17:55:56,51.542637,-0.095176,.51
010/05/10T17:56:09,51.542471,-0.095081,.65
010/05/10T17:56:16,51.542388,-0.095012,.74
010/05/10T17:56:24,51.542271,-0.094939,.74
010/05/10T17:56:31,51.542166,-0.094884,.58
010/05/10T17:56:37,51.542078,-0.094836,.58
010/05/10T17:56:43,51.541983,-0.094791,.58
010/05/10T17:56:47,51.541893,-0.094751,.67
010/05/10T17:56:53,51.541781,-0.094714,.67
010/05/10T17:57:01,51.541695,-0.094664,.64
010/05/10T17:57:02,51.541676,-0.094643,.64
010/05/10T17:57:15,51.541579,-0.094477,.68
010/05/10T17:57:22,51.541539,-0.094345,.68
010/05/10T17:57:38,51.541367,-0.094037,.72
010/05/10T17:57:45,51.541311,-0.093990,.68
010/05/10T17:57:49,51.541215,-0.093900,.68
010/05/10T17:57:58,51.541120,-0.093787,.68
010/05/10T17:58:03,51.541042,-0.093682,.58
010/05/10T17:58:08,51.540967,-0.093574,.58
010/05/10T17:58:15,51.540895,-0.093476,.62
010/05/10T17:58:17,51.540889,-0.093466,.62
010/05/10T17:58:25,51.540802,-0.093315,.62
010/05/10T17:58:31,51.540743,-0.093201,.65
010/05/10T17:58:37,51.540671,-0.093049,.65
010/05/10T17:58:42,51.540617,-0.092933,.65
010/05/10T17:58:47,51.540557,-0.092818,.62
010/05/10T17:58:54,51.540489,-0.092706,.62
010/05/10T17:59:01,51.540411,-0.092602,.66
010/05/10T17:59:06,51.540335,-0.092491,.66
010/05/10T17:59:15,51.540214,-0.092318,.57
010/05/10T17:59:20,51.540148,-0.092215,.57
010/05/10T17:59:26,51.540081,-0.092109,.57
010/05/10T17:59:33,51.539980,-0.091962,.61
010/05/10T17:59:34,51.539980,-0.091962,.61
010/05/10T17:59:38,51.539906,-0.091864,.61
010/05/10T17:59:44,51.539833,-0.091763,.61
010/05/10T17:59:55,51.539716,-0.091583,.61
010/05/10T18:00:06,51.539609,-0.091431,.6
010/05/10T18:00:14,51.539539,-0.091314,.66
010/05/10T18:00:22,51.539477,-0.091169,.66
010/05/10T18:00:28,51.539419,-0.091078,.66
010/05/10T18:00:33,51.539351,-0.090980,.57
010/05/10T18:00:41,51.539271,-0.090900,.57
010/05/10T18:00:42,51.539263,-0.090894,.57
010/05/10T18:00:50,51.539171,-0.090804,.72
010/05/10T18:00:57,51.539086,-0.090735,.72
010/05/10T18:01:10,51.538965,-0.090561,.71
010/05/10T18:01:16,51.538908,-0.090417,.6
010/05/10T18:01:23,51.538849,-0.090257,.6
010/05/10T18:01:28,51.538791,-0.090134,.6
010/05/10T18:01:38,51.538686,-0.089921,.63
010/05/10T18:01:45,51.538615,-0.089754,.75
010/05/10T18:01:55,51.538533,-0.089626,.75
010/05/10T18:02:02,51.538454,-0.089536,.58
010/05/10T18:02:12,51.538359,-0.089440,.58
010/05/10T18:02:21,51.538277,-0.089360,.58
010/05/10T18:02:29,51.538182,-0.089264,.58
010/05/10T18:02:35,51.538103,-0.089151,.58
010/05/10T18:02:41,51.538016,-0.089006,.58
010/05/10T18:02:48,51.537919,-0.088841,.63
010/05/10T18:02:53,51.537845,-0.088705,.63
010/05/10T18:03:01,51.537780,-0.088530,.66
010/05/10T18:03:09,51.537726,-0.088348,.66
010/05/10T18:03:16,51.537719,-0.088271,.58
010/05/10T18:03:27,51.537675,-0.088082,.58
010/05/10T18:03:36,51.537645,-0.087895,.51
010/05/10T18:03:44,51.537618,-0.087739,.65
010/05/10T18:03:51,51.537596,-0.087562,.65
010/05/10T18:03:55,51.537573,-0.087421,.65
010/05/10T18:04:03,51.537528,-0.087163,.65
010/05/10T18:04:09,51.537494,-0.087001,.65
010/05/10T18:04:16,51.537432,-0.086814,.63
010/05/10T18:04:23,51.537348,-0.086740,.63
010/05/10T18:04:27,51.537331,-0.086732,.63
010/05/10T18:04:35,51.537243,-0.086692,.7
010/05/10T18:04:45,51.537232,-0.086548,.74
010/05/10T18:04:57,51.537100,-0.086407,.74
010/05/10T18:05:04,51.536994,-0.086362,.77
010/05/10T18:05:10,51.536897,-0.086345,.77
010/05/10T18:05:16,51.536804,-0.086367,.73
010/05/10T18:05:23,51.536669,-0.086399,.73
010/05/10T18:05:28,51.536577,-0.086413,.73
010/05/10T18:05:35,51.536481,-0.086430,.61
010/05/10T18:05:46,51.536348,-0.086446,.63
010/05/10T18:05:57,51.536255,-0.086395,.63
010/05/10T18:06:03,51.536172,-0.086275,.66
010/05/10T18:06:10,51.536103,-0.086154,.66
010/05/10T18:06:17,51.536065,-0.086013,.66
010/05/10T18:06:24,51.536061,-0.085862,.66
010/05/10T18:06:36,51.536076,-0.085619,.64
010/05/10T18:06:42,51.536067,-0.085465,.64
010/05/10T18:06:48,51.536052,-0.085297,.57
010/05/10T18:06:53,51.536039,-0.085152,.57
010/05/10T18:06:59,51.536040,-0.085001,.7
010/05/10T18:07:03,51.536041,-0.084942,.7
010/05/10T18:07:14,51.536035,-0.084794,.75
010/05/10T18:07:23,51.536037,-0.084630,.75
010/05/10T18:07:28,51.536068,-0.084472,.75
010/05/10T18:07:35,51.536094,-0.084243,.67
010/05/10T18:07:40,51.536093,-0.084096,.67
010/05/10T18:07:48,51.536064,-0.083911,.58
010/05/10T18:07:55,51.536024,-0.083764,.58
010/05/10T18:08:01,51.535982,-0.083635,.66
010/05/10T18:08:08,51.535929,-0.083477,.66
010/05/10T18:08:18,51.535879,-0.083349,.57
010/05/10T18:08:29,51.535798,-0.083181,.7
010/05/10T18:08:37,51.535741,-0.083039,.7
010/05/10T18:08:40,51.535741,-0.083039,.7
010/05/10T18:08:56,51.535623,-0.082782,.63
010/05/10T18:08:58,51.535623,-0.082782,.63
010/05/10T18:08:59,51.535548,-0.082698,.65
010/05/10T18:09:04,51.535466,-0.082613,.65
010/05/10T18:09:08,51.535388,-0.082535,.65
010/05/10T18:09:25,51.535246,-0.082419,.54
010/05/10T18:09:35,51.535240,-0.082415,.8
010/05/12T09:00:51,51.533616,-0.120940,.69
010/05/12T11:07:49,51.533616,-0.120940,.46
010/05/12T17:00:33,51.543288,-0.095612,.94
010/05/12T17:00:41,51.543152,-0.095554,.94
010/05/12T17:00:52,51.542972,-0.095456,.94
010/05/12T17:01:01,51.542848,-0.095361,.94
010/05/12T17:01:10,51.542713,-0.095268,.96
010/05/12T17:01:17,51.542583,-0.095186,.96
010/05/12T17:01:24,51.542436,-0.095104,.96
010/05/12T17:01:28,51.542301,-0.095028,.96
010/05/12T17:01:37,51.542171,-0.094899,.96
010/05/12T17:01:47,51.542044,-0.094794,.89
010/05/12T17:01:55,51.541918,-0.094689,.83
010/05/12T17:02:09,51.541748,-0.094584,.82
010/05/12T17:02:18,51.541603,-0.094485,.82
010/05/12T17:02:25,51.541431,-0.094308,.74
010/05/12T17:02:57,51.541302,-0.094382,.7
010/05/12T17:03:04,51.541245,-0.094361,.7
010/05/12T17:03:21,51.541208,-0.094130,.7
010/05/12T17:03:28,51.541185,-0.093973,.79
010/05/12T17:03:32,51.541109,-0.093768,.79
010/05/12T17:03:40,51.540999,-0.093478,.78
010/05/12T17:03:45,51.540923,-0.093293,.78
010/05/12T17:03:50,51.540827,-0.093118,.78
010/05/12T17:03:58,51.540725,-0.092951,.78
010/05/12T17:04:08,51.540620,-0.092761,.74
010/05/12T17:04:23,51.540484,-0.092736,.59
010/05/12T17:04:36,51.540374,-0.092554,.59
010/05/12T17:04:52,51.540241,-0.092359,.68
010/05/12T17:05:01,51.540134,-0.092203,.48
010/05/12T17:05:10,51.540018,-0.092036,.55
010/05/12T17:05:18,51.539913,-0.091869,.55
010/05/12T17:05:24,51.539819,-0.091704,.7
010/05/12T17:05:31,51.539721,-0.091541,.7
010/05/12T17:05:43,51.539581,-0.091454,.74
010/05/12T17:05:44,51.539565,-0.091441,.74
010/05/12T17:05:58,51.539447,-0.091215,.82
010/05/12T17:06:15,51.539317,-0.091084,.71
010/05/12T17:06:30,51.539153,-0.090842,.72
010/05/12T17:06:37,51.539021,-0.090593,.72
010/05/12T17:06:43,51.538941,-0.090429,.73
010/05/12T17:06:53,51.538850,-0.090265,.78
010/05/12T17:06:55,51.538839,-0.090248,.78
010/05/12T17:07:14,51.538696,-0.090052,.63
010/05/12T17:07:23,51.538576,-0.089915,.58
010/05/12T17:07:28,51.538395,-0.089657,.58
010/05/12T17:07:29,51.538395,-0.089657,.58
010/05/12T17:07:43,51.538243,-0.089487,.7
010/05/12T17:07:58,51.538119,-0.089257,.66
010/05/12T17:08:00,51.538119,-0.089257,.66
010/05/12T17:08:12,51.537980,-0.089237,.74
010/05/12T17:08:28,51.537920,-0.089043,.67
010/05/12T17:08:43,51.537888,-0.088747,.69
010/05/12T17:08:58,51.537872,-0.088443,.7
010/05/12T17:09:13,51.537829,-0.088136,.75
010/05/12T17:09:37,51.537791,-0.087682,.7
010/05/12T17:09:47,51.537552,-0.087324,.75
010/05/12T17:09:52,51.537465,-0.087160,.75
010/05/12T17:09:54,51.537366,-0.087009,.7
010/05/12T17:10:03,51.537270,-0.086813,.7
010/05/12T17:10:06,51.537268,-0.086722,.7
010/05/12T17:10:20,51.537107,-0.086609,.67
010/05/12T17:10:27,51.536975,-0.086656,.68
